Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Kevin Perera,Nugegoda Sports and Welfare Club,8,15,329,23.5,68.82,1,1,116
Lahiru Madushanka,Bloomfield Cricket and Athletic Club,9,13,325,27.08,68.56,0,3,63
Sandun Weerakkody,Tamil Union Cricket and Athletic Club,6,9,321,35.67,106.64,2,0,128
Diniru Abeywickramasingha,Burgher Recreation Club,8,12,311,28.27,64.65,0,1,51
Sithara Gimhana,Moors Sports Club,8,10,307,30.7,51.51,1,1,134
T M Sampath,Nugegoda Sports and Welfare Club,8,14,303,21.64,55.39,0,2,92
Thikshila De Silva,Chilaw Marians Cricket Club,8,12,294,26.73,82.35,0,3,69*
Sameera Sadamal,Kurunegala Youth Cricket Club,8,11,290,26.36,53.8,1,0,116
Chanaka Ruwansiri,Badureliya Sports Club,9,13,288,22.15,85.45,0,2,84
Imesh Udayanga,Kandy Customs Sports Club,8,14,282,21.69,56.74,0,1,58
Dilhara Polgampola,Kurunegala Youth Cricket Club,8,14,277,25.18,33.21,1,0,109
Rumesh Buddhika,Panadura Sports Club,7,11,276,34.5,50.27,0,2,84
Dilshan De Zoysa,Burgher Recreation Club,8,12,276,23,41.01,0,2,65
Dasun Shanaka,Sinhalese Sports Club,4,6,264,44,136.78,1,1,123
Avishka Tharindu,Police Sports Club,8,13,261,21.75,49.33,0,1,70
Roshane Silva,Burgher Recreation Club,5,8,259,43.17,51.08,1,2,105*
Yohan Liyanage,Ragama Cricket Club,5,9,258,28.67,64.66,0,1,84
Angelo Mathews,Colts Cricket Club,5,6,257,51.4,58.27,0,3,88
Chamikara Edirisinghe,Nugegoda Sports and Welfare Club,8,12,257,25.7,48.49,0,1,54
Sonal Dinusha,Colombo Cricket Club,4,4,255,127.5,88.85,2,0,117*
Akram Muthalib,Nugegoda Sports and Welfare Club,5,7,255,42.5,62.19,0,2,64
Sadeera Samarawickrama,Moors Sports Club,5,5,248,49.6,65.95,1,2,114
Lahiru Dewatage ,Panadura Sports Club,6,10,247,27.44,53.57,0,2,76
Muditha Lakshan,Colts Cricket Club,4,6,244,48.8,85.31,1,1,117*
Nadeera Balasooriya,Police Sports Club,6,12,244,22.18,86.83,0,2,57
Ashian Daniel,Nondescripts Cricket Club,9,12,241,30.13,53.2,0,2,63*
Sasindu Malshan,Sinhalese Sports Club,4,5,233,58.25,62.8,1,1,108
Dineth Thimodya,Ragama Cricket Club,5,10,233,23.3,58.98,0,1,60
Sachitha Jayathilake,Tamil Union Cricket and Athletic Club,5,8,232,38.67,57.71,0,2,91
Dimuth Karunarathna,Sinhalese Sports Club,5,6,228,38,62.98,0,2,79
Raminda Wijesooriya,Panadura Sports Club,6,10,228,25.33,78.35,0,1,77
Dushan Vimukthi,Chilaw Marians Cricket Club,8,14,226,18.83,42.72,0,1,58
Chamika Heenatigala,Burgher Recreation Club,8,13,225,20.45,51.48,0,1,62
Angelo Jayasinghe,Negombo Cricket Club,9,11,223,20.27,58.83,1,0,113
Nuwanidu Fernando,Sinhalese Sports Club,5,6,222,37,73.02,1,1,110
Rashmika Madusanka,Kurunegala Youth Cricket Club,5,9,222,31.71,42.28,0,1,56
Vishad Randika,Police Sports Club,7,11,221,24.56,62.07,0,1,70
Lakshan Edirisinghe,Kurunegala Youth Cricket Club,7,11,219,19.91,52.01,0,1,95
Mohammed Shamaaz,Tamil Union Cricket and Athletic Club,7,10,217,21.7,60.95,0,1,51
Dinushka Malan,Kurunegala Youth Cricket Club,8,11,214,23.78,75.88,0,0,35
Dhananjaya De Silva,Colombo Cricket Club,4,6,212,53,77.09,0,1,83
Wanuja Sahan ,Ace Capital Cricket Club,8,11,208,23.11,60.46,0,1,70*
Lasith Abeyrathna,Moors Sports Club,6,10,205,25.63,53.94,0,2,83
Malindu Maduranga,Kandy Customs Sports Club,6,10,204,20.4,68,0,1,86
Raveen Yasas,Chilaw Marians Cricket Club,6,10,204,20.4,40.39,0,0,45
Lasith Lakshan,Chilaw Marians Cricket Club,7,13,204,17,47.55,0,1,94
Chamika Karunaratne,Nondescripts Cricket Club,8,12,203,18.45,76.89,0,0,43
Raveen De Silva,Ace Capital Cricket Club,5,7,198,28.29,41.59,0,1,77
Isitha Dew Wijesundara,Bloomfield Cricket and Athletic Club,9,13,197,15.15,82.77,0,1,54
Charith Asalanka,Sinhalese Sports Club,2,2,194,97,86.6,1,1,128
Alankara Asanka,Badureliya Sports Club,9,13,193,16.08,38.14,0,0,45
Saminda Fernando,Ragama Cricket Club,6,8,192,24,50.79,0,1,96
Asel Sigera,Nondescripts Cricket Club,7,11,190,23.75,68.1,0,1,57*
Chamindu Wijesinghe,Colombo Cricket Club,8,10,190,21.11,48.59,0,1,50
Dilan Jayalath,Nugegoda Sports and Welfare Club,6,11,190,19,50.53,0,1,50*
Hasitha Boyagoda,Bloomfield Cricket and Athletic Club,6,10,189,18.9,45.43,0,2,74
Umesh Lakshan,Negombo Cricket Club,5,7,188,37.6,55.45,0,0,45
Mineth Premarathne,Bloomfield Cricket and Athletic Club,6,10,188,18.8,41.04,0,1,61
Santhush Gunatilake,Ragama Cricket Club,8,14,188,14.46,44.86,0,1,67
Movin Subasinghe,Burgher Recreation Club,6,7,185,37,115.62,1,0,100*
Milan Rathnayake,Moors Sports Club,6,7,183,26.14,45.07,0,0,42
Vishwa Chathuranga,Chilaw Marians Cricket Club,3,6,180,30,79.64,1,0,118
Janith Liyanage,Ragama Cricket Club,4,6,180,30,67.41,0,2,67
Dinura Kalupahana,Sinhalese Sports Club,6,7,180,30,46.87,0,2,52
Nimesh Gunasinghe,Colombo Cricket Club,4,7,175,29.17,62.27,0,1,56*
Sineth Jayawardena,Tamil Union Cricket and Athletic Club,4,7,173,24.71,104.21,0,1,72
Dilshan Munaweera,Negombo Cricket Club,6,8,172,21.5,73.81,0,0,44
Dinesh Chandimal,Colts Cricket Club,3,3,171,57,100,1,0,130
Imal Liyanage,Kandy Customs Sports Club,5,8,171,21.38,65.51,0,1,85
Gayana Weerasinghe ,Kurunegala Youth Cricket Club,7,11,171,17.1,47.76,0,2,60
Inuka Karannagoda,Colombo Cricket Club,3,6,169,33.8,70.41,0,2,65
Suminda Lakshan,Chilaw Marians Cricket Club,5,8,168,24,52.33,0,1,73
Yohan De Silva,Bloomfield Cricket and Athletic Club,5,9,168,18.67,42.96,0,0,45
Ravindu Rathnayake,Ace Capital Cricket Club,4,7,166,33.2,48.25,0,1,59
Risira Weerasuriya,Burgher Recreation Club,6,9,166,18.44,42.13,0,1,99
Pasindu Thirimadura,Negombo Cricket Club,6,9,165,20.63,57.09,0,0,41
Chalana De Silva,Badureliya Sports Club,9,13,165,13.75,84.18,0,1,57*
Sangeeth Cooray,Colts Cricket Club,8,11,161,14.64,38.15,0,1,50
Ashan Randika,Chilaw Marians Cricket Club,6,11,156,15.6,69.95,0,0,49
Sithara Hapuhinna,Tamil Union Cricket and Athletic Club,4,6,154,30.8,81.05,0,1,53
Gajitha Kotuwegoda,Ragama Cricket Club,5,8,153,25.5,54.25,0,1,76
Sheran Fonseka,Colts Cricket Club,5,5,152,30.4,56.08,0,2,71
Nishan Madushka,Colombo Cricket Club,5,8,151,18.88,62.65,1,0,112
Chamod Sandaru,Chilaw Marians Cricket Club,4,7,145,24.17,46.03,0,0,46
Leo Fransisco,Badureliya Sports Club,7,11,145,13.18,39.5,0,0,31
Lakshan Gamage,Nugegoda Sports and Welfare Club,4,6,144,28.8,63.71,0,1,50*
Anuk Fernando,Badureliya Sports Club,4,8,143,17.88,50.88,0,1,64
Navindu Nirmal,Burgher Recreation Club,5,8,142,17.75,36.5,0,0,38
Sanjaya Chathuranga,Ragama Cricket Club,4,8,138,19.71,48.76,0,1,78*
Sheshan Fernando,Negombo Cricket Club,6,9,138,15.33,94.52,0,0,27
Chamindu Wickramasinghe,Sinhalese Sports Club,3,4,137,68.5,72.87,1,0,102*
Gihan Koralage,Badureliya Sports Club,4,6,137,27.4,52.09,0,1,69*
Mithun Jayawickrama,Kandy Customs Sports Club,8,13,136,10.46,44.73,0,0,44
Buddhika Sanjeewa,Kandy Customs Sports Club,7,11,134,14.89,108.94,0,0,48
Sachithra Perera,Kandy Customs Sports Club,8,13,134,11.17,73.62,0,0,44
Deshan Dias,Burgher Recreation Club,5,9,133,14.78,38.43,0,1,74
Sadisha Rajapaksa,Sinhalese Sports Club,3,4,129,32.25,63.23,0,2,63
Akila Dananjaya,Colts Cricket Club,7,8,128,16,66.32,0,0,46
Upul Indrasiri,Negombo Cricket Club,9,10,127,18.14,39.56,0,0,29*
Lahiru Samarakoon,Tamil Union Cricket and Athletic Club,3,5,126,31.5,100,0,0,49*
Hiran Jayasundara,Ace Capital Cricket Club,3,5,126,25.2,64.61,0,1,62
Rahul Gunasekara,Nugegoda Sports and Welfare Club,7,9,126,14,41.58,0,0,32
Roshan Jayatissa,Ace Capital Cricket Club,8,11,126,12.6,77.77,0,0,36
Risith Upamal,Tamil Union Cricket and Athletic Club,3,4,124,31,45.09,0,1,60
Gaviru Senhas,Ragama Cricket Club,3,5,124,24.8,65.6,0,0,49
Ranmith Jayasena,Ragama Cricket Club,4,7,124,17.71,57.94,0,0,36
Kusal Mendis,Sinhalese Sports Club,1,1,123,123,77.84,1,0,123
Yohan Mendis,Colts Cricket Club,3,5,122,30.5,44.36,0,0,42
Ranitha Liyanarachchi,Panadura Sports Club,6,10,120,12,69.76,0,0,43
Malinda Pushpakumara,Burgher Recreation Club,7,9,119,19.83,58.04,0,0,38*
Tharinda Nirmal Guruge,Bloomfield Cricket and Athletic Club,4,6,117,23.4,54.41,0,0,34
Madawa Warnapura,Negombo Cricket Club,6,8,117,14.63,31.11,0,0,36
Lahiru Jayarathne,Kurunegala Youth Cricket Club,8,10,117,11.7,62.56,0,0,43
Imithiyaz Slaza,Panadura Sports Club,7,11,116,12.89,41.13,0,0,32
Nimesh Vimukthi,Panadura Sports Club,8,14,112,9.33,48.69,0,0,23
Kaveen Fernando,Negombo Cricket Club,2,3,111,37,70.25,0,1,54
Manelker De Silva,Tamil Union Cricket and Athletic Club,4,5,111,22.2,48.05,0,1,84
Dhanushka Dharmasiri,Kurunegala Youth Cricket Club,4,6,110,18.33,84.61,0,0,44
Shashika Dulshan,Ragama Cricket Club,7,11,110,13.75,33.63,0,0,31*
Yohan Suresh,Kandy Customs Sports Club,3,6,109,21.8,57.67,0,0,46
Isuru Udana,Colombo Cricket Club,4,5,106,21.2,112.76,0,1,54
Danal Hemananda,Ace Capital Cricket Club,5,8,103,17.17,50.99,0,0,45
Rashmika Hirushan Perera,Police Sports Club,5,8,103,14.71,62.42,0,1,57
Nalin Priyadarshana,Police Sports Club,8,10,103,14.71,55.37,0,0,47*
Heshan Fernando,Police Sports Club,4,8,102,17,42.5,0,0,38
Milinda Siriwardena,Negombo Cricket Club,4,5,98,19.6,62.02,0,1,83
Manoj Sarathchandra,Sinhalese Sports Club,4,7,95,19,49.73,0,0,21
Harsha Cooray,Ace Capital Cricket Club,4,5,94,18.8,44.54,0,0,28
Pulindu Perera,Nugegoda Sports and Welfare Club,1,2,93,46.5,62.83,0,1,65
Tharusha Fernando,Tamil Union Cricket and Athletic Club,4,5,93,18.6,50.81,0,0,34
Maduka Liyanapathiranage,Nugegoda Sports and Welfare Club,7,12,93,10.33,41.33,0,0,32*
Nipun Malinga,Ragama Cricket Club,4,8,90,11.25,69.23,0,0,41
Dulash Udayanga,Burgher Recreation Club,5,9,88,11,31.42,0,1,52
Pawan Sandesh,Colombo Cricket Club,1,2,80,40,81.63,0,1,62
Lakshitha Manasinghe,Sinhalese Sports Club,3,5,80,20,40.81,0,0,22
Ravindu Sembakutty,Ragama Cricket Club,4,7,80,13.33,38.09,0,0,34
Shiran Fernando,Moors Sports Club,7,8,80,10,45.45,0,0,28
Keshan Wanniarachchi,Negombo Cricket Club,5,5,78,15.6,45.08,0,0,26
Kavindu Amantha ,Badureliya Sports Club,3,5,78,15.6,43.57,0,0,42
Supun Waduge,Chilaw Marians Cricket Club,3,6,78,13,46.15,0,1,51
Dinuka Dilshan,Moors Sports Club,3,5,75,18.75,48.38,0,0,42
Sasanka Nirmal,Badureliya Sports Club,4,7,73,18.25,32.88,0,0,28*
Himesh Ramanayake,Police Sports Club,6,7,73,14.6,25.7,0,0,29
Koshan Jayawickarama,Ragama Cricket Club,4,6,72,14.4,59.01,0,0,45
Lakshan Sandakan,Colombo Cricket Club,8,10,71,11.83,44.09,0,0,14*
Dushan Hemantha,Panadura Sports Club,5,8,71,8.88,52.59,0,0,33
Dilum Sudeera,Police Sports Club,8,10,70,7.78,25.27,0,0,16*
Asantha Basnayaka,Kurunegala Youth Cricket Club,3,4,67,33.5,30.31,0,0,28
Pathum Kumara,Chilaw Marians Cricket Club,2,3,66,22,46.47,0,0,34
Sahan Nanayakkara,Bloomfield Cricket and Athletic Club,9,14,66,11,36.06,0,0,13*
Sachira Weliwatta,Burgher Recreation Club,1,1,65,65,49.24,0,1,65
Dilshan Madusanka,Colts Cricket Club,4,4,65,32.5,41.93,0,0,38*
Chamath Gomez,Nugegoda Sports and Welfare Club,5,6,65,10.83,63.1,0,0,22
Kusal J Perera ,Police Sports Club,1,2,63,63,94.02,0,0,36
Ravishan De Silva,Moors Sports Club,3,5,62,20.67,62,0,0,21*
Sangeeth Shehara,Police Sports Club,3,5,61,12.2,38.85,0,0,20
Vishva Lahiru Kumara,Panadura Sports Club,6,8,57,9.5,44.18,0,0,31
Vihas Thevmika,Tamil Union Cricket and Athletic Club,3,3,56,28,33.33,0,0,34
Kalana Perera,Tamil Union Cricket and Athletic Club,2,4,55,18.33,65.47,0,0,46
Keshara Nuwantha,Panadura Sports Club,2,3,54,18,101.88,0,0,26
Ravija Sandaruwan,Burgher Recreation Club,3,5,52,10.4,70.27,0,0,30
Duvindu Tillakaratne,Chilaw Marians Cricket Club,8,11,51,7.29,17.89,0,0,17
Avindu Theekshana,Kandy Customs Sports Club,2,3,50,16.67,46.72,0,0,34
Thevindu Dickwella,Kandy Customs Sports Club,2,4,50,12.5,50,0,0,23
Hareen Buddila,Colts Cricket Club,1,2,49,24.5,42.6,0,0,41
Kavindu Nirmana,Chilaw Marians Cricket Club,2,4,49,16.33,61.25,0,0,32
Avishka Fernando,Sinhalese Sports Club,2,2,47,23.5,63.51,0,0,39
Nipun Dhananjaya,Sinhalese Sports Club,3,4,47,11.75,61.84,0,0,21
Vijayakanth Viyaskanth,Tamil Union Cricket and Athletic Club,4,6,46,7.67,37.09,0,0,24
Lasith Embuldeniya,Nondescripts Cricket Club,7,5,45,15,45,0,0,35
Sukitha Manoj,Colts Cricket Club,3,4,44,11,52.38,0,0,26
Dulnith Sigera,Badureliya Sports Club,2,3,43,14.33,82.69,0,0,22
Aravinda Premarathne,Kurunegala Youth Cricket Club,6,7,43,10.75,23.75,0,0,18*
Murvin Abinash,Burgher Recreation Club,3,4,42,10.5,58.33,0,0,19
Vishwa Wijerathna,Kandy Customs Sports Club,2,4,42,10.5,57.53,0,0,33
Dhanuja Induwara,Police Sports Club,2,3,41,13.67,56.94,0,0,26
Rusanda Gamage ,Ragama Cricket Club,3,5,41,8.2,52.56,0,0,19
Saranga Rajaguru,Badureliya Sports Club,2,3,40,13.33,70.17,0,0,18
Mishen Silva,Badureliya Sports Club,2,4,40,10,40,0,0,19
Chamika Gunasekara,Nondescripts Cricket Club,5,5,39,7.8,39,0,0,31
Kavika Dilshan,Kurunegala Youth Cricket Club,6,7,39,6.5,46.98,0,0,17
Ayon Fernando,Chilaw Marians Cricket Club,4,5,38,7.6,52.05,0,0,16
Ayana Siriwardana,Tamil Union Cricket and Athletic Club,2,4,37,9.25,97.36,0,0,20
Harsha Vithana,Badureliya Sports Club,2,4,37,9.25,38.14,0,0,27
Lahiru Kumara,Nondescripts Cricket Club,4,4,37,9.25,35.57,0,0,31
Sandun Mendis,Colombo Cricket Club,2,3,36,18,67.92,0,0,19*
Chanaka Komasaru,Badureliya Sports Club,9,12,36,4.5,35.64,0,0,12
Chathuranga De Silva,Colombo Cricket Club,2,3,35,11.67,57.37,0,0,18
Sahan Adeesha,Kandy Customs Sports Club,5,6,35,8.75,51.47,0,0,19
Dushmantha Chameera,Nondescripts Cricket Club,3,2,34,34,39.08,0,0,23*
Keshan Wijerathna,Burgher Recreation Club,4,5,34,17,68,0,0,20*
Tharindu Harshana,Tamil Union Cricket and Athletic Club,1,2,34,17,38.2,0,0,29
Nishan Peiris,Negombo Cricket Club,6,6,34,5.67,27.41,0,0,18
Pawan Pathiraja,Colombo Cricket Club,1,2,33,16.5,45.83,0,0,18
Kavindu Nadeeshan,Sinhalese Sports Club,4,5,31,6.2,32.63,0,0,23
Dellon Peiris,Nugegoda Sports and Welfare Club,1,1,30,30,69.76,0,0,30
Dimuth Sandaruwan,Negombo Cricket Club,4,5,30,7.5,65.21,0,0,17
Sahan Mihira ,Panadura Sports Club,2,4,30,7.5,43.47,0,0,16
Sandun Madusanka,Nugegoda Sports and Welfare Club,1,2,30,0,58.82,0,0,20*
Pathum Nissanka,Nondescripts Cricket Club,1,1,29,29,54.71,0,0,29
Sarujan Sammuganathen,Badureliya Sports Club,2,2,29,29,36.7,0,0,20*
Yesith Rupasinghe,Moors Sports Club,1,2,29,14.5,64.44,0,0,29
Kanchana De Livera,Panadura Sports Club,1,2,28,14,30.43,0,0,17
Naveen Fernando,Burgher Recreation Club,3,4,28,7,70,0,0,11
Damith Silva,Ragama Cricket Club,3,4,28,7,38.88,0,0,16
Maduranga Zoysa,Nugegoda Sports and Welfare Club,1,2,27,13.5,81.81,0,0,27
Asanka Manoj,Tamil Union Cricket and Athletic Club,7,10,27,9,24.54,0,0,12*
Tharindu Amarasinghe,Badureliya Sports Club,2,4,27,6.75,54,0,0,15
Supun Madusanka,Police Sports Club,2,4,27,6.75,40.9,0,0,16
Pathum Nirmal,Police Sports Club,2,3,26,8.67,32.5,0,0,15
Rajinda Punchihewa,Chilaw Marians Cricket Club,2,3,25,25,50,0,0,24
Kavindu Pathiratne,Police Sports Club,2,3,25,12.5,36.76,0,0,14
Hashan Dumindu,Colts Cricket Club,2,3,25,8.33,26.88,0,0,16
Arul Pragasam,Burgher Recreation Club,1,1,24,24,70.58,0,0,24
Danushka Sandaruwan,Negombo Cricket Club,6,6,24,8,45.28,0,0,17
Pramod Madushan,Sinhalese Sports Club,4,3,23,7.67,25.27,0,0,19
Kalhara Senarathna,Ragama Cricket Club,4,5,22,4.4,26.19,0,0,15
Dulaj Ashen,Burgher Recreation Club,1,1,21,21,52.5,0,0,21
Chanuka Dilshan,Moors Sports Club,8,7,21,21,30.43,0,0,12*
Dasis Manchanayake,Tamil Union Cricket and Athletic Club,2,2,21,10.5,60,0,0,16
Nisala Tharaka,Sinhalese Sports Club,3,4,21,7,51.21,0,0,14
Kavindu Kulasekara,Moors Sports Club,2,3,21,7,41.17,0,0,12
Usman Ishak,Kandy Customs Sports Club,2,4,21,7,39.62,0,0,14
Hansaja Hiruna,Negombo Cricket Club,3,1,20,20,47.61,0,0,20
Ashan Priyanjan,Colombo Cricket Club,1,2,20,10,100,0,0,17
Ranuda Somarathne,Sinhalese Sports Club,2,3,20,6.67,37.73,0,0,12
Ravindra Karunarathna,Kurunegala Youth Cricket Club,4,5,20,4,32.25,0,0,15
Prabath Jayasuriya,Sinhalese Sports Club,5,5,20,4,27.02,0,0,6
Nimsara Atharagalla,Ace Capital Cricket Club,5,6,19,3.8,37.25,0,0,10
Yashan Avishka,Panadura Sports Club,2,3,18,9,31.57,0,0,14*
Vishwa Fernando,Colombo Cricket Club,7,6,18,9,25,0,0,8
Kaumal Nanayakkara,Kandy Customs Sports Club,5,8,18,3.6,17.82,0,0,7
Sithum Dissanayake,Ace Capital Cricket Club,3,5,16,8,29.62,0,0,10*
Suranga Lakmal,Tamil Union Cricket and Athletic Club,2,2,15,7.5,107.14,0,0,8
Randeera Ranasinghe,Kurunegala Youth Cricket Club,2,2,15,7.5,51.72,0,0,11
Chameera Dissanayake,Burgher Recreation Club,1,1,14,14,30.43,0,0,14
Udith Madushan,Colts Cricket Club,4,4,14,14,28.57,0,0,7
Chaminda Bandara,Burgher Recreation Club,2,4,14,7,60.86,0,0,7
Mohammed Shiraz,Burgher Recreation Club,3,3,14,4.67,40,0,0,13
Mohamed Dilshad,Panadura Sports Club,5,7,14,4.67,20.58,0,0,8*
Savin Gunasekara,Burgher Recreation Club,1,1,13,13,118.18,0,0,13
Wanindu Hasaranga,Colombo Cricket Club,1,2,13,6.5,76.47,0,0,7
Rohan Sanjaya,Moors Sports Club,2,3,13,4.33,23.63,0,0,11
Shehan Hasaranga,Sinhalese Sports Club,1,1,12,12,200,0,0,12
Kavindu Wickramasinghe,Panadura Sports Club,1,2,12,6,26.08,0,0,12
Chathuranga Kumara,Police Sports Club,3,4,12,3,21.81,0,0,6
Hareen Rathnamudali,Ragama Cricket Club,6,8,12,3,15.78,0,0,9*
Adeesha Thilanchana,Kandy Customs Sports Club,1,1,11,11,31.42,0,0,11
Heshan Hettiarachchi,Chilaw Marians Cricket Club,4,5,11,3.67,15.49,0,0,6
Abishek Liyanarachchi,Badureliya Sports Club,1,2,10,5,38.46,0,0,6
Chathuranga Dilshan Abeysinghe,Nugegoda Sports and Welfare Club,5,7,10,2,13.69,0,0,6*
Chamara Silva,Police Sports Club,1,1,9,9,69.23,0,0,9
Kasun Rajitha,Sinhalese Sports Club,3,3,9,9,27.27,0,0,5*
Jeffrey Vandersay,Bloomfield Cricket and Athletic Club,3,2,9,4.5,64.28,0,0,9
Akila Dilshan ,Kandy Customs Sports Club,1,2,9,0,56.25,0,0,9*
Sachindu Colombage,Nondescripts Cricket Club,1,1,9,0,47.36,0,0,9*
Randunu Ganganath,Burgher Recreation Club,2,3,8,2.67,11.59,0,0,3
Nilanka Premarathne,Badureliya Sports Club,2,2,8,0,30.76,0,0,4*
Tilanga Udeshana,Moors Sports Club,4,4,7,3.5,10.44,0,0,3*
Lakindu Sachin ,Ragama Cricket Club,2,1,6,0,600,0,0,6*
Kevin Koththigoda,Badureliya Sports Club,1,1,5,5,23.8,0,0,5
Nimnaka Jayathilake,Sinhalese Sports Club,2,3,5,0,41.66,0,0,4*
Kaveesha Piyumal,Bloomfield Cricket and Athletic Club,1,1,4,4,44.44,0,0,4
Kasun Madushanka,Panadura Sports Club,2,3,4,2,12.9,0,0,3
Miyuru Heshan ,Nugegoda Sports and Welfare Club,2,4,4,1.33,9.75,0,0,2
Chanura Fernando,Negombo Cricket Club,4,3,3,1.5,23.07,0,0,2*
Lohan De Zoysa,Nugegoda Sports and Welfare Club,1,2,3,1.5,13.04,0,0,3
Krishnashriram,Colts Cricket Club,6,4,3,1.5,8.82,0,0,2*
Chathura Randunu,Bloomfield Cricket and Athletic Club,1,2,3,0,30,0,0,2*
Suwath Mendis,Nugegoda Sports and Welfare Club,1,1,3,0,30,0,0,3*
Sampath Nishshanka,Nondescripts Cricket Club,4,4,3,0,15.78,0,0,3*
Mihiranga Nimsara Silva,Bloomfield Cricket and Athletic Club,2,2,2,2,8.69,0,0,2
Dileepa Jayalath,Police Sports Club,2,3,2,0,10,0,0,2*
