Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Lahiru Udara,Nondescripts Cricket Club,9,14,787,56.21,90.14,3,2,206
Kamil Mishara,Nondescripts Cricket Club,9,14,753,53.79,57.34,3,3,151
Ron Chandraguptha,Bloomfield Cricket and Athletic Club,9,15,729,48.6,57.94,2,3,237
Sahan Kosala,Kandy Customs Sports Club,8,14,722,55.54,76.16,2,5,128
Lasith Croospulle,Colombo Cricket Club,8,13,709,54.54,107.09,3,2,163
Pasindu Sooriyabandara,Moors Sports Club,8,10,620,77.5,57.88,2,3,200*
Roshan Wijenayake ,Nugegoda Sports and Welfare Club,5,10,599,85.57,59.95,4,0,201*
Sahan Arachchige,Nondescripts Cricket Club,9,14,598,54.36,63.41,3,1,167
Dhananjaya Lakshan,Colts Cricket Club,8,10,587,65.22,79.97,2,4,150
Nipun Karunanayake ,Bloomfield Cricket and Athletic Club,9,15,567,47.25,52.45,0,7,81
Pavan Rathnayaka,Colombo Cricket Club,8,12,542,49.27,73.94,1,2,194
Niroshan Dickwella,Nondescripts Cricket Club,9,14,524,37.43,108.48,1,3,108
Gayan Maneeshan,Kurunegala Youth Cricket Club,8,13,506,42.17,64.7,1,3,112
Thanuka Dabare,Ace Capital Cricket Club,8,14,493,35.21,114.12,0,4,99
Roscoe Thattil,Kandy Customs Sports Club,8,14,491,37.77,56.89,0,3,88
Kavin Bandara,Nondescripts Cricket Club,7,11,482,53.56,79.53,1,3,110*
Sammu Ashan,Ace Capital Cricket Club,8,14,473,36.38,63.4,0,3,79
Oshada Fernando,Panadura Sports Club,7,13,470,36.15,90.73,0,4,99
Pawantha Weerasinghe,Ace Capital Cricket Club,8,14,467,35.92,60.96,2,0,118*
Minod Banuka,Colombo Cricket Club,8,11,456,45.6,65.7,0,5,89
Janishka Perera,Moors Sports Club,7,10,453,45.3,55.31,1,5,101
Irosh Samarasooriya,Panadura Sports Club,8,15,452,32.29,52.07,0,3,69
Ravindu Rashantha,Colts Cricket Club,7,10,434,43.4,66.97,1,0,244
Anjala Bandara,Colombo Cricket Club,7,10,429,53.63,59.91,1,1,190
Shevon Daniel,Sinhalese Sports Club,8,12,427,38.82,71.04,1,3,142
Sohan De Livera,Moors Sports Club,8,13,423,35.25,76.76,0,3,79
Himasha Liyanage,Negombo Cricket Club,9,12,422,35.17,51.9,0,5,74
Geeth Kumara,Badureliya Sports Club,9,15,421,35.08,52.95,1,1,165*
Ravindu Fernando,Bloomfield Cricket and Athletic Club,9,14,415,31.92,86.27,1,3,114*
Navod Paranavithana,Tamil Union Cricket and Athletic Club,7,11,412,41.2,61.49,0,3,98
Ashen Bandara,Police Sports Club,8,12,410,34.17,92.76,0,4,92
Sanoj Darshika,Colts Cricket Club,8,11,408,37.09,58.62,2,0,145
Asitha Wanninayake,Bloomfield Cricket and Athletic Club,7,11,407,45.22,49.03,1,3,104*
Priyamal Perera,Police Sports Club,8,12,405,36.82,63.47,0,2,89
Thulina Dilshan,Tamil Union Cricket and Athletic Club,8,13,397,33.08,55.52,0,2,66
Shehan Jayasuriya,Chilaw Marians Cricket Club,5,8,388,48.5,52.36,2,1,132
Ahan Wickramasinghe,Nondescripts Cricket Club,7,12,380,31.67,70.11,1,1,105
Kavishka Anjula,Colts Cricket Club,8,11,375,37.5,80.99,1,1,110
Avishka Perera,Nugegoda Sports and Welfare Club,7,13,369,28.38,54.91,2,0,109
Vinura Dulsara,Ragama Cricket Club,7,12,366,36.6,44.41,0,3,92
Shalith Fernando,Panadura Sports Club,7,12,360,32.73,62.93,0,3,87*
Tharindu Rathnayake,Tamil Union Cricket and Athletic Club,8,11,354,32.18,93.15,0,3,86
Udayawansha Parakrama,Ace Capital Cricket Club,7,12,348,31.64,69.32,1,1,113
Pramod Maduwantha,Negombo Cricket Club,9,11,346,49.43,54.83,1,3,101*
Angelo Perera,Nugegoda Sports and Welfare Club,5,8,343,49,98.28,1,2,120*
Krishan Sanjula,Sinhalese Sports Club,8,12,343,34.3,66.99,0,2,69
Sakuna Liyanage,Ace Capital Cricket Club,8,14,341,26.23,60.35,0,2,67
Shehan Fernando,Kandy Customs Sports Club,8,14,341,24.36,51.27,0,3,68
Ramesh Mendis,Moors Sports Club,7,8,338,48.29,57.48,0,4,80
Kasun Abeyratne,Bloomfield Cricket and Athletic Club,9,14,334,25.69,55.48,1,0,115
Kasun Vidura,Chilaw Marians Cricket Club,8,14,334,25.69,50.75,0,2,60
Ranesh Silva,Badureliya Sports Club,7,10,333,37,60.65,0,4,75
Dunith Jayathunga,Badureliya Sports Club,9,15,332,22.13,67.75,0,2,59
