Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Kavika Dilshan,Nugegoda Sports and Welfare Club,1,1,3,3,9.09,0,0,3
Geethika De Silva,Kurunegala Youth Cricket Club,1,1,2,2,33.33,0,0,2
Rashmika Madusanka,Kurunegala Youth Cricket Club,1,1,2,2,20,0,0,2
Dineth Goonewardena,Nondescripts Cricket Club,1,2,2,1,22.22,0,0,2
Udith Madushan,Colts Cricket Club,10,7,2,1,6.89,0,0,1*
Eshan Malinga,Bloomfield Cricket and Athletic Club,1,2,1,1,6.25,0,0,1*
Senitha Halambage,Panadura Sports Club,1,2,1,0.5,10,0,0,1
Eshan Withanage,Colombo Cricket Club,1,1,0,0,0,0,0,0
Chathuranga Dilshan Abeysinghe,Nugegoda Sports and Welfare Club,1,1,0,0,0,0,0,0
Malith De Silva,Badureliya Sports Club,1,1,0,0,0,0,0,0
Chanuka Dilshan,Moors Sports Club,3,4,0,0,0,0,0,0*
Sadeepa Rathnayaka,Police Sports Club,2,3,0,0,0,0,0,0*
Mihiranga Nimsara Silva,Bloomfield Cricket and Athletic Club,2,2,0,0,0,0,0,0*
Dulanjala Mendis,Kurunegala Youth Cricket Club,1,1,0,0,0,0,0,0*
Naveen Fernando,Ace Capital Cricket Club,1,1,0,0,0,0,0,0*
Rohan Sanjaya,Nugegoda Sports and Welfare Club,1,0,0,0,0,0,0,0*
Sahan Mihira ,Panadura Sports Club,1,1,0,0,0,0,0,0
Sampath Nishshanka,Nondescripts Cricket Club,1,1,0,0,0,0,0,0
