Rank,Player,Team,Quality (Raw),Consistency Quality-Weighted (Raw),Participation (Raw),Dominance (Raw),Quality (Norm),Consistency Quality-Weighted (Norm),Participation (Norm),Dominance (Norm),WBI Score
164,Dushan Hemantha,Panadura Sports Club,88.53,0.0036,0.4514,-0.2297,0.2231,0.0077,0.3329,0.2328,0.2089
165,Pulina Tharanga,Chilaw Marians Cricket Club,68.9991,0.1711,0.2924,-0.2768,0.1711,0.3659,0.1333,0.2237,0.2085
166,Asel Sigera,Nondescripts Cricket Club,83.3931,0.0111,0.4586,-0.2541,0.2094,0.0238,0.342,0.2281,0.2082
167,Vinuka Rubasinghe,Nondescripts Cricket Club,114.9435,0.0283,0.2507,0.5081,0.2933,0.0606,0.081,0.3749,0.2059
168,Ashan Randika,Chilaw Marians Cricket Club,86.5009,0.0121,0.4441,-0.3281,0.2177,0.0258,0.3238,0.2138,0.2053
169,Supun Madusanka,Police Sports Club,96.446,0.0031,0.3869,0.0458,0.2441,0.0066,0.2519,0.2859,0.2048
170,Duleeka Thisakuttige,Nugegoda Sports and Welfare Club,67.6748,0.1676,0.2952,-0.3489,0.1676,0.3584,0.1368,0.2098,0.2044
171,Sheran Fonseka,Colts Cricket Club,81.5025,0.0059,0.4531,-0.2753,0.2044,0.0127,0.3351,0.224,0.2016
172,Sithara Hapuhinna,Tamil Union Cricket and Athletic Club,103.0233,0.0101,0.3497,-0.0116,0.2616,0.0216,0.2052,0.2748,0.2015
173,Chamika Gunasekara,Nondescripts Cricket Club,54.155,0.0046,0.5921,-0.8015,0.1316,0.0097,0.5095,0.1227,0.2004
174,Imesh Udayanga,Kandy Customs Sports Club,85.3213,0.0115,0.4341,-0.3595,0.2145,0.0245,0.3113,0.2078,0.1997
175,Madawa Warnapura,Kurunegala Youth Cricket Club,78.6195,0.0069,0.4786,-0.5543,0.1967,0.0147,0.3671,0.1703,0.1989
176,Pasindu Thirimadura,Negombo Cricket Club,87.51,0.0328,0.3697,-0.1416,0.2203,0.0702,0.2303,0.2498,0.1972
177,Lasith Embuldeniya,Nondescripts Cricket Club,55.6968,0.0055,0.5621,-0.7029,0.1357,0.0117,0.4719,0.1416,0.1958
178,Lahiru Dewatage,Badureliya Sports Club,91.5659,0.0069,0.3869,-0.1985,0.2311,0.0147,0.2519,0.2388,0.1942
179,Kanchana De Livera,Panadura Sports Club,115.9841,0.0064,0.2852,-0.0423,0.2961,0.0137,0.1242,0.2689,0.1926
180,Nimsara Atharagalla,Chilaw Marians Cricket Club,46.0531,0.0025,0.6048,-0.9322,0.11,0.0053,0.5255,0.0975,0.1911
