Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Dhananjaya De Silva,Tamil Union Cricket and Athletic Club,3,4,256,85.33,66.32,0,3,87
Dulash Udayanga,Burgher Recreation Club,5,9,255,28.33,58.75,0,4,71
Vishwa Wijerathna,Galle Cricket Club,9,13,255,19.62,35.81,0,1,74
Kevin Perera,Nugegoda Sports and Welfare Club,8,10,253,36.14,55.84,0,2,68*
Lahiru Thirimanna,Ragama Cricket Club,3,5,252,50.4,70.98,1,1,109
Sahan Arachchige,Nondescripts Cricket Club,6,8,252,42,72.2,1,0,106
Milinda Siriwardena,Negombo Cricket Club,5,8,250,31.25,60.24,1,1,127
Sakuna Liyanage,Ace Capital Cricket Club,10,15,250,20.83,46.21,0,1,79
Geeth Kumara,Sri Lanka Air Force Sports Club,6,10,246,27.33,48.71,0,1,53
Ahan Wickramasinghe,Nondescripts Cricket Club,10,13,246,22.36,81.18,0,1,81
Mithun Jayawickrama,Kandy Customs Sports Club,9,14,246,20.5,69.49,0,2,67
Shabbir Trunkwala,Nugegoda Sports and Welfare Club,4,7,244,40.67,82.15,1,1,114
Duleeka Thisakuttige,Nugegoda Sports and Welfare Club,9,14,244,18.77,37.3,0,2,77
Ron Chandraguptha,Tamil Union Cricket and Athletic Club,7,11,243,24.3,72.75,0,1,58
Ramesh Mendis,Moors Sports Club,9,12,243,20.25,63.61,0,1,84
Ashan Randika,Sri Lanka Army Sports Club,7,11,242,22,50.62,0,0,43
Pulina Tharanga,Chilaw Marians Cricket Club,10,12,239,19.92,55.06,0,1,88
Pramod Maduwantha,Sebastianites Cricket and Athletic Club,5,7,238,39.67,45.85,0,2,74*
Upul Tharanga,Nondescripts Cricket Club,5,8,236,29.5,60.66,0,1,92
Kavindu Nadeeshan,Sinhalese Sports Club,6,5,235,58.75,55.29,1,1,109*
Dushan Hemantha,Burgher Recreation Club,3,6,234,39,69.64,1,1,102
Roshan Jayatissa,Ace Capital Cricket Club,10,14,230,16.43,73.48,0,0,40
Tharindu Rathnayake,Sebastianites Cricket and Athletic Club,8,13,226,25.11,86.59,0,1,61
Kamesh Nirmal,Tamil Union Cricket and Athletic Club,7,11,223,20.27,76.89,0,1,63
Dhanuja Induwara,Police Sports Club,8,10,222,22.2,49.11,0,0,47
Lasith Croospulle,Colombo Cricket Club,5,8,216,27,100.93,0,3,67
Asitha Wanninayake,Bloomfield Cricket and Athletic Club,7,10,216,27,43.99,0,2,64
Ranitha Liyanarachchi,Nugegoda Sports and Welfare Club,6,10,216,24,64.67,0,1,85
Dilum Sudeera,Tamil Union Cricket and Athletic Club,9,12,213,26.63,36.41,0,0,45*
Angelo Jayasinghe,Negombo Cricket Club,6,11,213,23.67,34.02,0,1,65*
Lakshitha Manasinghe,Sinhalese Sports Club,9,10,211,30.14,56.11,0,0,40
Kusal Mendis,Sinhalese Sports Club,3,3,210,105,84,1,0,136
ABHISHEK GUPTA,Kandy Customs Sports Club,3,5,210,42,77.49,1,0,104
Sonal Dinusha,Colombo Cricket Club,8,12,210,26.25,56.45,0,1,52*
Lohan De Zoysa,Sebastianites Cricket and Athletic Club,6,10,210,21,40.22,0,2,91
Wanuja Sahan ,Ace Capital Cricket Club,10,15,207,14.79,56.4,0,1,60
Manoj Sarathchandra,Sinhalese Sports Club,6,5,206,51.5,67.98,0,2,86
Nimanda Subasinghe,Burgher Recreation Club,5,9,206,25.75,76.29,1,0,100*
Chamindu Wickramasinghe,Sinhalese Sports Club,6,6,205,34.17,72.69,1,0,106
Nimesh Vimukthi,Panadura Sports Club,9,12,203,16.92,60.41,0,1,59
Adeesha Thilanchana,Bloomfield Cricket and Athletic Club,8,10,196,24.5,54.44,0,1,55
Madawa Warnapura,Negombo Cricket Club,6,10,196,21.78,39.59,0,1,57
Sithara Hapuhinna,Tamil Union Cricket and Athletic Club,5,7,194,27.71,110.85,1,0,109
Indika de Saram,Panadura Sports Club,5,7,194,27.71,88.58,0,2,61
Anuk Fernando,Badureliya Sports Club,8,12,193,16.08,46.39,0,1,58
Abishek Liyanarachchi,Sebastianites Cricket and Athletic Club,7,12,190,17.27,47.61,0,1,80*
Deshan Dias,Kandy Customs Sports Club,4,8,187,31.17,42.3,0,2,66
Yashoda Lanka,Colts Cricket Club,4,7,187,26.71,82.74,0,1,93
Chanaka Ruwansiri,Sri Lanka Air Force Sports Club,6,10,187,18.7,78.24,0,1,85
Pathum Kumara,Sri Lanka Army Sports Club,8,9,185,26.43,68.51,0,1,77
Pasindu Thirimadura,Negombo Cricket Club,5,9,185,23.13,44.15,0,1,67
Kasun Abeyratne,Bloomfield Cricket and Athletic Club,2,4,182,60.67,75.51,1,1,102
Sadeesh Jayawardena,Kandy Customs Sports Club,6,9,179,19.89,42.01,0,0,45
SUKITHA MANOJ,Panadura Sports Club,8,12,176,17.6,42.71,0,1,54
Vishad Randika,Colts Cricket Club,7,9,169,21.13,54.69,0,1,51
SYED HUSNAIN BUKHARI ,Bloomfield Cricket and Athletic Club,5,6,168,33.6,56.18,0,2,59
Sahil Dias,Sri Lanka Air Force Sports Club,4,7,168,24,40.77,0,1,94
Dimuth Sandaruwan,Negombo Cricket Club,4,8,168,21,55.44,0,1,97
Senash Fernando,Sri Lanka Air Force Sports Club,5,10,168,16.8,39.16,0,0,37
Kusal J Perera ,Police Sports Club,5,7,167,23.86,69.87,0,1,62
Raghav Dhawan,Galle Cricket Club,5,9,167,18.56,56.04,0,0,31
Dushan Vimukthi,Sebastianites Cricket and Athletic Club,6,9,167,18.56,44.17,0,1,73
Ayana Siriwardana,Badureliya Sports Club,4,6,166,27.67,89.24,0,1,60
Adeesha Nanayakkara,Sebastianites Cricket and Athletic Club,5,7,166,23.71,61.25,0,0,48
Dasun Shanaka,Sinhalese Sports Club,3,3,165,55,104.43,0,2,96
Yohan Suresh,Kandy Customs Sports Club,9,12,165,13.75,53.39,0,0,49
Navindu Nirmal,Sebastianites Cricket and Athletic Club,5,7,164,23.43,39.14,0,2,66
Alankara Asanka,Badureliya Sports Club,8,11,164,23.43,39.04,0,1,84
ISIVARA DISSANAYAKE,Sebastianites Cricket and Athletic Club,5,9,163,20.38,47.1,0,0,36
Pathum Dilshan,Nugegoda Sports and Welfare Club,6,7,162,23.14,45.76,0,0,42
Supun Madusanka,Police Sports Club,6,9,162,18,79.41,0,0,33
Kavishka Anjula,Colts Cricket Club,9,10,160,20,80.8,0,0,41
Tharindu Kaushal,Nugegoda Sports and Welfare Club,4,8,159,22.71,48.62,0,0,39
Jason Perera,Nugegoda Sports and Welfare Club,6,10,159,15.9,40.76,0,1,72
YOHAN DE SILVA,Bloomfield Cricket and Athletic Club,4,6,158,31.6,47.87,0,1,92
Lahiru Samarakoon,Moors Sports Club,7,8,158,19.75,75.23,0,1,79
Nisala Tharaka,Sinhalese Sports Club,10,8,157,31.4,61.81,0,1,52*
Praveen Jayawickrama,Moors Sports Club,9,10,157,22.43,44.22,0,0,46
Malindu Maduranga,Kandy Customs Sports Club,5,9,157,17.44,87.7,0,1,53
Sheshan Fernando,Negombo Cricket Club,3,6,156,26,55.31,0,1,97
Chamara Silva,Police Sports Club,5,8,156,22.29,71.23,0,1,64
Kavindu Kulasekara,Moors Sports Club,6,8,156,22.29,41.26,0,1,74
ID Singh Chauhan,Galle Cricket Club,2,4,152,50.67,77.94,0,1,79*
Roscoe Thattil,Sri Lanka Air Force Sports Club,6,10,151,15.1,69.26,0,2,63
Ranuda Somarathne,Sinhalese Sports Club,4,5,150,30,57.69,0,1,50
Ashen Silva,Negombo Cricket Club,4,7,150,21.43,39.16,0,0,46
Chathuranga Kumara,Police Sports Club,6,8,149,21.29,73.39,0,0,46
Asel Sigera,Nondescripts Cricket Club,8,9,149,16.56,57.08,0,1,54
Sandun Weerakkody,Bloomfield Cricket and Athletic Club,7,12,149,12.42,87.13,0,0,47
Lasith Embuldeniya,Nondescripts Cricket Club,10,10,147,16.33,86.98,0,0,32
Chamod Sandaru,Chilaw Marians Cricket Club,7,10,147,14.7,51.57,0,0,44
Pawan Sandesh,Panadura Sports Club,6,8,146,18.25,66.36,0,1,52
Vishwa Chathuranga,Chilaw Marians Cricket Club,6,8,144,18,92.3,0,1,53
Adil Reshi,Badureliya Sports Club,6,8,143,17.88,47.35,0,2,52
Dilshan Munaweera,Negombo Cricket Club,3,6,142,23.67,66.35,0,2,57
Koshan Jayawickarama,Panadura Sports Club,7,11,142,14.2,46.1,0,0,31
Kavindu Ediriweera,Galle Cricket Club,3,6,140,35,32.71,0,0,37
Dasis Manchanayake,Tamil Union Cricket and Athletic Club,4,7,138,19.71,52.67,1,0,111
Sachindu Colombage,Negombo Cricket Club,3,6,133,26.6,41.82,0,1,50*
Kavindu Nirmana,Chilaw Marians Cricket Club,5,6,133,22.17,71.12,0,0,36
Jeffrey Vandersay,Bloomfield Cricket and Athletic Club,9,10,133,14.78,63.94,0,0,44
Sadeera Samarawickrama,Tamil Union Cricket and Athletic Club,3,4,131,32.75,60.09,1,0,112
Jehan Daniel,Colts Cricket Club,6,6,131,26.2,102.34,0,2,57
Tharindu Amarasinghe,Chilaw Marians Cricket Club,5,7,129,18.43,47.95,0,1,53
Johanne De Zilva,Negombo Cricket Club,3,6,128,21.33,50.99,0,0,49
Lakshan Sandakan,Colombo Cricket Club,7,8,125,25,40.84,0,1,55
Vijayakanth Viyaskanth,Tamil Union Cricket and Athletic Club,6,7,125,20.83,71.42,0,0,46
Sadisha Rajapaksa,Sinhalese Sports Club,2,3,124,41.33,75.15,0,1,90
Ashian Daniel,Nondescripts Cricket Club,9,10,124,20.67,43.97,0,0,49*
Shashika Dulshan,Ragama Cricket Club,8,8,122,40.67,54.7,0,1,61
Gayan Maneeshan,Kurunegala Youth Cricket Club,4,6,122,20.33,103.38,0,0,40
Chalana De Silva,Nugegoda Sports and Welfare Club,10,12,122,11.09,89.05,0,0,43
Janith De Silva,Burgher Recreation Club,5,9,121,13.44,93.79,0,0,41
Muditha Lakshan,Colts Cricket Club,3,4,119,39.67,72.56,0,1,79
THARINDU HARSHANA,Tamil Union Cricket and Athletic Club,2,2,118,59,52.44,1,0,111
Sachitha Jayathilake,Sebastianites Cricket and Athletic Club,4,6,118,19.67,72.39,0,1,66
Upul Indrasiri,Negombo Cricket Club,7,12,118,11.8,55.39,0,0,24
Chidhambaram Gautam,Sebastianites Cricket and Athletic Club,3,6,117,19.5,63.24,0,0,42
Vishara Fernando,Badureliya Sports Club,4,6,116,23.2,76.31,0,1,62
Ravindu Rashantha,Colts Cricket Club,5,6,115,19.17,61.82,0,1,59
Sanjula Bandara,Ragama Cricket Club,4,8,115,19.17,42.27,0,0,31
Ranmith Jayasena,Ragama Cricket Club,4,6,114,19,61.95,0,0,34
Milan Rathnayake,Moors Sports Club,8,9,114,16.29,45.23,0,0,36*
Duvindu Tillakaratne,Burgher Recreation Club,8,14,114,11.4,42.06,0,1,51
KAVEESHA ABISHEK,Sri Lanka Air Force Sports Club,3,6,113,18.83,50.22,0,0,49
Harsha Vithana,Galle Cricket Club,3,4,112,37.33,54.63,0,1,64*
Nishan Peiris,Negombo Cricket Club,9,16,112,7.47,31.81,0,0,22
Suminda Lakshan,Sri Lanka Army Sports Club,5,7,111,27.75,56.06,0,0,48*
Sanjeet Desai,Sri Lanka Air Force Sports Club,3,6,110,18.33,74.82,0,0,42
Anjala Bandara,Colombo Cricket Club,3,4,109,36.33,43.77,0,1,50*
Naveen Fernando,Kurunegala Youth Cricket Club,4,6,109,18.17,69.87,0,1,50
Lahiru Madushanka,Bloomfield Cricket and Athletic Club,8,11,108,10.8,45.56,0,1,56
Aravinda Premarathne,Kurunegala Youth Cricket Club,6,8,107,15.29,34.74,0,0,45*
Umesh Lakshan,Negombo Cricket Club,2,4,106,26.5,56.68,0,1,74
Mineth Premarathne,Bloomfield Cricket and Athletic Club,3,6,105,17.5,47.29,0,1,57
Shiran Fernando,Tamil Union Cricket and Athletic Club,8,10,105,11.67,69.53,0,1,57
Maduka Liyanapathiranage,Ace Capital Cricket Club,5,8,102,12.75,43.22,0,1,78
Ruwantha Kellepotha,Galle Cricket Club,2,4,101,33.67,45.08,0,1,87*
Udayawansha Parakrama,Sri Lanka Air Force Sports Club,5,8,101,12.63,46.75,0,0,34
Nadeera Balasooriya,Police Sports Club,5,8,99,14.14,84.61,0,1,50*
Chamika Gunasekara,Nondescripts Cricket Club,9,10,98,12.25,50.51,0,1,53
Rohan Sanjaya,Badureliya Sports Club,3,4,97,24.25,54.8,0,0,42
Madusanka Premarathna,Sri Lanka Air Force Sports Club,3,6,97,16.17,75.78,0,0,24
Sarul Kanwar,Chilaw Marians Cricket Club,3,4,96,24,84.95,0,0,39
Pasindu Madushan,Galle Cricket Club,6,6,96,24,36.78,0,1,54*
Vinura Dulsara,Colts Cricket Club,4,7,96,13.71,43.83,0,0,37
Nimesh Gunasinghe,Colombo Cricket Club,6,10,94,9.4,47.95,0,0,31
Chamindu Wijesinghe,Colombo Cricket Club,5,8,93,13.29,34.57,0,0,19
Akila Dananjaya,Colts Cricket Club,10,10,93,11.63,53.75,0,0,33
Yesith Rupasinghe,Badureliya Sports Club,3,5,91,18.2,71.09,0,1,63
Chaminda Bandara,Kurunegala Youth Cricket Club,8,7,91,18.2,48.92,0,0,31*
Imesh Udayanga,Kandy Customs Sports Club,5,7,91,15.17,80.53,0,0,38
Chamikara Edirisinghe,Sebastianites Cricket and Athletic Club,7,10,90,11.25,37.81,0,0,35
Danushka Sandaruwan,Negombo Cricket Club,8,13,88,9.78,35.77,0,0,37
Umega Chathuranga,Galle Cricket Club,9,10,87,14.5,44.84,0,0,17
Mohammed Shiraz,Burgher Recreation Club,9,14,87,12.43,29.59,0,0,20*
Rajeewa Weerasinghe,Panadura Sports Club,6,9,86,14.33,39.09,0,0,29
Sandun Mendis,Colombo Cricket Club,2,3,85,28.33,62.96,0,0,40
Vishva Lahiru Kumara,Panadura Sports Club,4,6,85,17,40.47,0,0,31*
Sheran Fonseka,Colts Cricket Club,6,6,85,14.17,51.82,0,0,24
Gihan Koralage,Badureliya Sports Club,5,7,85,12.14,37.44,0,0,36
Nimsara Atharagalla,Ace Capital Cricket Club,8,10,84,12,69.42,0,0,46
Thulina Dilshan,Sebastianites Cricket and Athletic Club,4,7,84,12,54.9,0,0,27
Madura Madusanka,Kandy Customs Sports Club,4,6,82,16.4,37.44,0,0,44*
Danal Hemananda,Police Sports Club,8,9,82,13.67,37.96,0,0,35
Thevindu Dickwella,Kandy Customs Sports Club,3,5,80,16,46.78,0,0,22
Suwath Mendis,Nugegoda Sports and Welfare Club,6,5,78,15.6,21.72,0,0,25
Isitha Dew Wijesundara,Sebastianites Cricket and Athletic Club,6,9,77,11,68.75,0,0,26
Kalhara Senarathna,Ragama Cricket Club,6,6,76,19,53.9,0,1,57*
Krishan Sanjula,Sinhalese Sports Club,4,6,76,15.2,39.37,0,0,26
Nirmala Rathnayake,Badureliya Sports Club,4,5,75,25,36.76,0,1,66
Ramesh Nimantha,Chilaw Marians Cricket Club,2,3,75,25,30,0,0,39
Chathura Randunu,Sri Lanka Air Force Sports Club,5,10,75,9.38,35.54,0,0,24
Sameera Sadamal,Kurunegala Youth Cricket Club,3,4,74,37,59.2,0,0,29*
Sachithra Perera,Galle Cricket Club,6,6,74,14.8,71.15,0,1,56
Lasanda Rukmal,Sri Lanka Air Force Sports Club,10,16,72,7.2,21.62,0,0,25
Adithya Siriwardhana,Sri Lanka Air Force Sports Club,3,5,71,23.67,50.71,0,0,18*
Thikshila De Silva,Chilaw Marians Cricket Club,3,3,70,23.33,72.16,0,0,40
Malinda Pushpakumara,Police Sports Club,10,10,70,8.75,53.43,0,0,14
Maduranga Zoysa,Badureliya Sports Club,4,6,68,11.33,53.12,0,0,46
Bhagya Dissanayake,Burgher Recreation Club,3,6,68,11.33,36.95,0,0,21
Shehada Zoysa,Sri Lanka Army Sports Club,7,6,66,11,36.66,0,1,52
Bhanuka Rajapaksha,Burgher Recreation Club,3,5,65,13,112.06,0,0,26
Ashan Fernando,Bloomfield Cricket and Athletic Club,3,6,65,13,58.03,0,0,25
Vinuka Rubasinghe,Nondescripts Cricket Club,2,4,63,31.5,64.28,0,0,26*
Saranga Rajaguru,Panadura Sports Club,2,2,63,31.5,58.33,0,1,57
Tharindu Siriwardena,Badureliya Sports Club,2,4,61,15.25,35.67,0,0,28
Dinura Kalupahana,Sinhalese Sports Club,3,3,60,30,101.69,0,1,57*
Raveen De Silva,Tamil Union Cricket and Athletic Club,2,4,60,20,57.14,0,0,40*
Sineth Jayawardena,Panadura Sports Club,3,5,60,12,55.04,0,0,15
Lahiru Dewatage ,Ragama Cricket Club,4,5,60,12,44.77,0,1,53
Pabasara Waduge,Moors Sports Club,3,4,59,14.75,81.94,0,0,33
Nipun Ransika,Nondescripts Cricket Club,6,6,58,9.67,113.72,0,0,24
Irosh Fernando,Negombo Cricket Club,3,6,58,9.67,27.61,0,0,26
Pramod Madushan,Tamil Union Cricket and Athletic Club,3,4,57,19,56.43,0,0,44
Thilan Prashan,Moors Sports Club,3,5,57,14.25,52.77,0,0,31*
Lahiru Gamage,Nugegoda Sports and Welfare Club,9,10,56,7,34.56,0,0,10*
Dulaj Ashen,Burgher Recreation Club,2,3,54,18,79.41,0,0,28
Nipun Malinga,Ragama Cricket Club,4,5,54,13.5,50.46,0,0,30
Dinuka Dilshan,Moors Sports Club,5,6,51,8.5,33.11,0,0,30
Nalin Priyadarshana,Police Sports Club,10,10,51,6.38,35.17,0,0,20
Amshi De Silva,Nondescripts Cricket Club,3,3,49,16.33,56.32,0,0,28
Sammu Ashan,Tamil Union Cricket and Athletic Club,4,6,49,8.17,35.76,0,0,19
Shalin De Mel,Colts Cricket Club,2,3,48,16,64.86,0,0,31
Murvin Abinash,Burgher Recreation Club,2,4,47,11.75,28.14,0,0,33
Pathum Madusanka,Sri Lanka Air Force Sports Club,4,7,47,6.71,39.16,0,0,16
Sachin Dalpethado,Burgher Recreation Club,4,8,47,5.88,25.96,0,0,18
Sasindu Malshan,Sinhalese Sports Club,1,2,46,23,66.66,0,0,45
Thaveesha Abhishek,Nondescripts Cricket Club,4,6,46,11.5,34.07,0,0,19*
Shehan Fernando,Sri Lanka Army Sports Club,1,1,45,45,73.77,0,0,45
Yohan Liyanage,Ragama Cricket Club,1,2,45,22.5,58.44,0,0,32
Sachintha Peiris,Kurunegala Youth Cricket Club,5,6,45,11.25,47.36,0,0,13*
Moditha Ranathunga,Burgher Recreation Club,2,4,45,11.25,46.39,0,0,22
Maleesha Silva,Galle Cricket Club,2,3,43,14.33,41.74,0,0,21
Imithiyaz Slaza,Moors Sports Club,2,4,43,10.75,39.09,0,0,30
RANDUNU GANGANATH,Police Sports Club,2,4,43,10.75,27.38,0,0,33
Hashan Dumindu,Colts Cricket Club,6,5,43,8.6,27.04,0,0,13
Hashen Ramanayke,Panadura Sports Club,3,5,42,10.5,35.29,0,0,15
Rishika Dawatage,Panadura Sports Club,3,3,41,13.67,45.05,0,0,35
Gajitha Kotuwegoda,Bloomfield Cricket and Athletic Club,2,4,41,10.25,48.23,0,0,15
Chanaka Komasaru,Badureliya Sports Club,8,10,40,8,71.42,0,0,11
Kosala Ravindu,Kurunegala Youth Cricket Club,2,4,39,9.75,60.93,0,0,20
Savin Gunasekara,Burgher Recreation Club,2,4,39,9.75,43.33,0,0,30
Heshan Hettiarachchi,Sri Lanka Army Sports Club,5,4,38,12.67,33.33,0,0,17
Umeshika Morais,Burgher Recreation Club,4,6,38,12.67,31.4,0,0,30
DULAJ BANDARA,Ragama Cricket Club,2,4,38,9.5,46.91,0,0,27
Lahiru Dilshan,Panadura Sports Club,2,4,38,9.5,29.45,0,0,16
Sithum Dissanayake,Ace Capital Cricket Club,7,10,37,18.5,56.06,0,0,25*
Rashmika Madusanka,Kandy Customs Sports Club,2,3,37,12.33,64.91,0,0,22
Dilshan Kollure,Kurunegala Youth Cricket Club,2,3,36,12,102.85,0,0,21
Tharinda Guruge,Galle Cricket Club,4,4,36,9,57.14,0,0,25
Avindu Theekshana,Chilaw Marians Cricket Club,6,8,35,11.67,49.29,0,0,22
HASITHA  AMARASINGHE,Badureliya Sports Club,2,4,34,17,85,0,0,29
Sasindu Nanayakkara,Nugegoda Sports and Welfare Club,2,3,34,11.33,53.12,0,0,17
Sashreeka Pussegolla,Sebastianites Cricket and Athletic Club,2,4,33,8.25,47.82,0,0,12
Dinushka Malan,Kurunegala Youth Cricket Club,4,5,32,10.67,47.05,0,0,15
Nipun Premarathna,Chilaw Marians Cricket Club,5,6,32,10.67,31.68,0,0,10*
Harshajith Rushan,Sri Lanka Army Sports Club,4,5,32,6.4,29.9,0,0,19
