Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Lahiru Udara,Nondescripts Cricket Club,10,17,828,55.2,120.17,3,5,134
Shevon Daniel,Sinhalese Sports Club,9,11,693,77,90.7,3,2,209
Ravindu Fernando,Tamil Union Cricket and Athletic Club,9,13,686,57.17,71.6,3,4,134
Niroshan Dickwella,Nondescripts Cricket Club,8,14,669,47.79,107.21,2,3,122
Ashen Bandara,Police Sports Club,10,14,664,55.33,78.02,4,1,113*
Parvez Rasool,Badureliya Sports Club,8,12,625,52.08,86.56,3,2,124
Janith Liyanage,Ragama Cricket Club,7,12,619,56.27,72.39,1,5,106
Oshada Fernando,Galle Cricket Club,9,14,613,43.79,81.08,1,4,150
Kasun Vidura,Chilaw Marians Cricket Club,10,14,600,46.15,58.3,1,4,116
Sohan De Livera,Moors Sports Club,9,13,575,44.23,81.1,1,2,130
Janishka Perera,Moors Sports Club,9,13,565,43.46,55.71,1,5,124
Sangeeth Cooray,Colts Cricket Club,10,13,564,47,63.72,1,4,129
Samarth Seth,Panadura Sports Club,7,11,534,59.33,79.7,3,1,111*
Pawantha Weerasinghe,Ace Capital Cricket Club,10,17,514,32.13,51.45,1,3,125
Himasha Liyanage,Negombo Cricket Club,9,16,504,33.6,38.82,0,5,83
Sithara Gimhana,Ace Capital Cricket Club,10,17,478,31.87,68.57,1,2,126
Imal Liyanage,Kandy Customs Sports Club,7,11,473,43,62.73,1,2,136
Jatin Saxena,Negombo Cricket Club,8,14,471,36.23,61.97,0,3,80
Angelo Mathews,Colts Cricket Club,4,4,467,116.75,61.93,3,0,172
Lakshan Gamage,Burgher Recreation Club,9,17,465,29.06,89.59,0,4,77
Priyamal Perera,Police Sports Club,10,14,456,38,48.77,1,3,101
Mohammed Shamaaz,Moors Sports Club,9,12,453,45.3,76,0,4,91
Nipun Karunanayake ,Bloomfield Cricket and Athletic Club,9,14,452,41.09,51.13,1,3,100*
Dinesh Chandimal,Sri Lanka Army Sports Club,8,11,451,50.11,62.37,2,2,105*
Heshan Fernando,Police Sports Club,10,15,445,29.67,55.69,2,1,142
Dilruwan Perera,Burgher Recreation Club,6,11,444,49.33,110.72,1,2,124
Avishka Fernando,Sinhalese Sports Club,8,9,437,48.56,85.68,1,2,107
Ashan Priyanjan,Colombo Cricket Club,8,13,430,39.09,70.72,0,4,93
Dhananjaya Lakshan,Colts Cricket Club,10,13,428,35.67,84.25,0,4,81
T M Sampath,Nugegoda Sports and Welfare Club,10,16,427,30.5,66.51,1,2,133
Leo Fransisco,Burgher Recreation Club,9,17,427,26.69,43.83,1,1,106*
Movin Subasinghe,Sri Lanka Air Force Sports Club,10,18,424,23.56,90.79,0,3,94
Hasitha Boyagoda,Bloomfield Cricket and Athletic Club,9,16,423,28.2,50.11,0,3,93
Risira Weerasuriya,Burgher Recreation Club,7,13,408,34,45.58,0,3,74
Lakshan Edirisinghe,Sri Lanka Army Sports Club,8,12,405,36.82,60.26,1,3,104*
Sahan Kosala,Kandy Customs Sports Club,6,10,404,44.89,76.66,1,2,135
Kemira Wijenayake,Sri Lanka Air Force Sports Club,9,17,403,25.19,39.27,0,3,85*
Asela Gunaratne,Sri Lanka Army Sports Club,7,7,402,67,65.04,2,1,112
Ravindu Rathnayake,Ace Capital Cricket Club,10,17,388,22.82,69.65,0,2,77
Nuwanidu Fernando,Sinhalese Sports Club,9,11,382,42.44,70.22,2,1,157
Shalith Fernando,Galle Cricket Club,6,8,377,75.4,69.68,1,3,146
Santhush Gunatilake,Ragama Cricket Club,8,12,372,46.5,63.91,0,3,80*
Nishan Madushka,Ragama Cricket Club,7,11,370,37,71.84,1,3,101
Ranesh Silva,Badureliya Sports Club,8,12,367,36.7,65.18,1,2,100*
NINAD KADAM,Chilaw Marians Cricket Club,7,9,361,51.57,48.78,1,2,106
ROSHAN WIJENAYAKE,Panadura Sports Club,9,13,361,30.08,44.51,1,2,101*
Avishka Tharindu,Ragama Cricket Club,8,11,360,32.73,62.17,1,1,106
Abhimanyu Chauhan,Sri Lanka Air Force Sports Club,6,12,357,29.75,66.11,0,3,86
Dilhara Polgampola,Kurunegala Youth Cricket Club,8,12,357,29.75,38.84,0,3,93
Pavan Rathnayaka,Colombo Cricket Club,8,12,349,38.78,71.22,1,2,103
Irosh Samarasooriya,Galle Cricket Club,6,8,344,43,52.27,1,2,101
Minod Banuka,Colombo Cricket Club,7,11,344,34.4,77.65,1,1,144
Buddhika Hasaranga,Galle Cricket Club,9,14,344,26.46,53,0,3,70
Rahul Gunasekara,Nugegoda Sports and Welfare Club,10,14,342,26.31,60,0,2,83
Sameen Kanadanearachchi,Kandy Customs Sports Club,6,10,339,33.9,86.7,1,1,130
Navod Paranavithana,Tamil Union Cricket and Athletic Club,9,13,338,28.17,71.45,0,2,85
Pasindu Sooriyabandara,Moors Sports Club,9,13,333,27.75,71.92,0,3,81
Sanoj Darshika,Kurunegala Youth Cricket Club,8,11,328,29.82,52.64,0,2,58
Kamil Mishara,Nondescripts Cricket Club,7,11,327,40.88,53.25,1,1,120*
Raveen Yasas,Chilaw Marians Cricket Club,10,14,321,26.75,46.58,0,3,86
Lasith Abeyrathna,Tamil Union Cricket and Athletic Club,9,13,318,28.91,56.88,1,1,100*
Kavin Bandara,Nondescripts Cricket Club,7,8,317,45.29,76.57,0,4,94
Nipun Dhananjaya,Sinhalese Sports Club,9,10,317,31.7,55.61,0,2,69
Anureet Singh,Kandy Customs Sports Club,5,8,313,44.71,78.64,1,1,109*
Kamindu Mendis,Colombo Cricket Club,6,8,308,38.5,55.79,1,2,103
Chathuranga De Silva,Colombo Cricket Club,6,8,306,43.71,106.62,0,3,95
Sanjaya Chathuranga,Ragama Cricket Club,5,7,304,60.8,70.37,2,1,103*
Lasith Lakshan,Chilaw Marians Cricket Club,9,14,300,25,46.08,0,1,67
Raminda Wijesooriya,Panadura Sports Club,5,6,297,49.5,85.34,0,3,91
Abhishek Raman,Burgher Recreation Club,5,9,294,32.67,63.36,0,1,82
Kavindu Amantha ,Ace Capital Cricket Club,7,12,292,24.33,53.77,0,2,57
Harsha Cooray,Ace Capital Cricket Club,10,15,287,23.92,43.35,0,2,68
Thanuka Dabare,Ace Capital Cricket Club,7,13,282,21.69,88.95,1,0,130
Manelker De Silva,Bloomfield Cricket and Athletic Club,8,12,277,25.18,62.24,1,0,116
Damith Perera,Kurunegala Youth Cricket Club,4,6,273,54.6,72.6,1,2,120
Shehan Fernando,Sri Lanka Army Sports Club,7,11,267,38.14,45.4,1,1,121
Asantha Basnayaka,Kurunegala Youth Cricket Club,6,9,267,33.38,50.47,1,1,113
Saminda Fernando,Ragama Cricket Club,7,11,265,24.09,66.08,0,1,60
GITANSH KHERA,Police Sports Club,6,8,262,37.43,69.68,0,3,75
Samit Gohel,Kurunegala Youth Cricket Club,5,8,259,37,47.69,0,2,69
Rumesh Buddhika,Nugegoda Sports and Welfare Club,6,6,258,64.5,42.36,1,0,126*
Praveen De Silva,Sri Lanka Air Force Sports Club,8,14,258,21.5,52.01,0,3,68
